model,dataset,fpr,tpr,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.008013737836290785,0.05710102489019034,0.7190247315798102
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.008013737836290785,0.060029282576866766,0.7120049744771368
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.009158557527189467,0.060029282576866766,0.7116263908326512
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.009158557527189467,0.06149341142020498,0.7109722937180378
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.009730967372638809,0.06149341142020498,0.7083500271508812
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.009730967372638809,0.07027818448023426,0.7064292835218571
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.01030337721808815,0.07027818448023426,0.7062464471517234
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.01030337721808815,0.0746705710102489,0.7012276755186138
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.010875787063537493,0.07613469985358712,0.6997170163540923
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.011448196908986834,0.07613469985358712,0.6957255448118014
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.011448196908986834,0.08345534407027819,0.6873021298660921
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.014310246136233544,0.08345534407027819,0.6785899488954704
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.014310246136233544,0.08638360175695461,0.6756690131969837
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.014882655981682884,0.08638360175695461,0.674990202904992
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.014882655981682884,0.08931185944363104,0.6729764219717507
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.015455065827132226,0.08931185944363104,0.6720536365000537
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.015455065827132226,0.09077598828696926,0.6715730032431196
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.01602747567258157,0.09077598828696926,0.671439374398288
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.01602747567258157,0.09370424597364568,0.6703339498938248
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.01659988551803091,0.09370424597364568,0.670257807472658
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.01659988551803091,0.0951683748169839,0.6700916330066852
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.017172295363480253,0.0951683748169839,0.6694395344587221
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.017172295363480253,0.09663250366032211,0.6668027067933481
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.017744705208929592,0.09663250366032211,0.6664745989443053
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.017744705208929592,0.10102489019033675,0.6632735535893666
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.018317115054378934,0.10102489019033675,0.6630236958510659
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.018317115054378934,0.1054172767203514,0.6581212933607867
