model,dataset,precision,recall,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2989644304367402,0.972181551976574,0.2064800171601959
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29864864864864865,0.9707174231332357,0.2065023946554231
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.298783235691753,0.9707174231332357,0.2070023940405723
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29918772563176893,0.9707174231332357,0.207016401471996
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29932279909706544,0.9707174231332357,0.207535835764102
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2994579945799458,0.9707174231332357,0.2077449563808419
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29972875226039786,0.9707174231332357,0.2081611222051314
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30027173913043476,0.9707174231332357,0.208457006360341
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3004077933846851,0.9707174231332357,0.2089067461397588
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30054397098821395,0.9707174231332357,0.2096838974051384
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3006802721088435,0.9707174231332357,0.2097438891576683
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30081669691470053,0.9707174231332357,0.2102122325814988
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3007723761926397,0.9692532942898975,0.2106212343303178
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3009090909090909,0.9692532942898975,0.2108545995495823
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30104592996816737,0.9692532942898975,0.2113841388206107
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3017319963536919,0.9692532942898975,0.2114256163208663
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3018695850433197,0.9692532942898975,0.2116595674765378
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30200729927007297,0.9692532942898975,0.2120529162312774
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3021451392058421,0.9692532942898975,0.213082938518118
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30242119689355873,0.9692532942898975,0.2136120467352087
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30255941499085925,0.9692532942898975,0.2141080435743843
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30269775948788297,0.9692532942898975,0.2142959743757793
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.302836230558097,0.9692532942898975,0.2143719097100025
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30297482837528605,0.9692532942898975,0.214797751731105
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30265567765567764,0.9677891654465594,0.2149220492998856
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30279431974347226,0.9677891654465594,0.2149831320479896
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3029330889092576,0.9677891654465594,0.2150576048941926
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30275229357798167,0.9663250366032211,0.215242321991974
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30289123451124367,0.9663250366032211,0.2158630140785117
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3031694993109784,0.9663250366032211,0.2170639579518733
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30330882352941174,0.9663250366032211,0.2175878771496164
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30358785648574055,0.9663250366032211,0.2177879801271446
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30372756557754255,0.9663250366032211,0.2182667073213235
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30386740331491713,0.9663250366032211,0.2187957396167453
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30400736987563337,0.9663250366032211,0.2194677292305965
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30414746543778803,0.9663250366032211,0.2198943909453042
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30428769017980634,0.9663250366032211,0.2204055998068117
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3044280442804428,0.9663250366032211,0.2205570955793143
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30456852791878175,0.9663250366032211,0.2209430642302424
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3047091412742382,0.9663250366032211,0.2211051628942863
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30484988452655887,0.9663250366032211,0.22114801294383
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30513176144244103,0.9663250366032211,0.2215337320238037
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30527289546716,0.9663250366032211,0.2221738493949055
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3054141601110597,0.9663250366032211,0.2224164081604042
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3055555555555556,0.9663250366032211,0.2232478578712934
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30569708198239925,0.9663250366032211,0.2234904050887109
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30583873957367935,0.9663250366032211,0.2236582586914312
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30598052851182195,0.9663250366032211,0.2239177680691906
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30608453320947515,0.9648609077598829,0.2239187654056156
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3062267657992565,0.9648609077598829,0.2239610064689876
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30636913063691307,0.9648609077598829,0.2243079253450557
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3065116279069767,0.9648609077598829,0.2244501684399521
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3066542577943229,0.9648609077598829,0.2244717813873513
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3067599067599068,0.9633967789165446,0.2245150958183585
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3070461969202053,0.9633967789165446,0.2245556375152408
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30718954248366015,0.9633967789165446,0.2263010921781665
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30733302195235873,0.9633967789165446,0.226602225654405
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3074766355140187,0.9633967789165446,0.2267567418102868
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3076203833567087,0.9633967789165446,0.226921863390767
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3077642656688494,0.9633967789165446,0.227231383076408
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3079082826392138,0.9633967789165446,0.2291473855202078
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3080524344569288,0.9633967789165446,0.2292785478054116
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3081967213114754,0.9633967789165446,0.2294082835477902
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3083411433926898,0.9633967789165446,0.2300558405786918
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30906528886801315,0.9633967789165446,0.2302256361230717
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30935590032910204,0.9633967789165446,0.2306505657899739
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30950141110065854,0.9633967789165446,0.2306841139092228
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3091764705882353,0.9619326500732065,0.2315844435668264
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30852567121997176,0.95900439238653,0.2322960333110735
