subgroup_domain,subgroup_label,model,N,positive_N,negative_N,prevalence,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed,adequacy_flag,interpretation_note
Education,High school or above,Logistic A-only,198,24,174,0.12121212121212122,AUPRC,0.3280647115375701,0.16812363197540733,0.5280976159288253,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,High school or above,Logistic A-only,198,24,174,0.12121212121212122,Brier score,0.101568985722479,0.07558781317568758,0.13060421642096062,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,High school or above,XGBoost A+B,198,24,174,0.12121212121212122,AUROC,0.6333812260536399,0.5097701149425288,0.7443502415458936,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,High school or above,XGBoost A+B,198,24,174,0.12121212121212122,AUPRC,0.1847804105630221,0.11301239457814187,0.32781766628767117,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,High school or above,XGBoost A+B,198,24,174,0.12121212121212122,Brier score,0.10999748175497615,0.08275980909506125,0.13834504820915008,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Less than primary school,Logistic A-only,1348,455,893,0.3375370919881306,AUROC,0.6493336450783259,0.6177903729116168,0.680972268820748,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Less than primary school,Logistic A-only,1348,455,893,0.3375370919881306,AUPRC,0.5106211761587914,0.46329275437084727,0.5594877952185946,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Less than primary school,Logistic A-only,1348,455,893,0.3375370919881306,Brier score,0.22016247071527822,0.214576515003839,0.2259411704441293,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Less than primary school,XGBoost A+B,1348,455,893,0.3375370919881306,AUROC,0.6306387901012761,0.5970964321300313,0.663135042093395,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Less than primary school,XGBoost A+B,1348,455,893,0.3375370919881306,AUPRC,0.5064141417808391,0.4574780338999789,0.5546053817128668,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Less than primary school,XGBoost A+B,1348,455,893,0.3375370919881306,Brier score,0.2221057065967683,0.21545369619716842,0.22888994182982253,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Middle school,Logistic A-only,387,68,319,0.17571059431524547,AUROC,0.6497556702931955,0.5768737962093823,0.7200088845351806,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Middle school,Logistic A-only,387,68,319,0.17571059431524547,AUPRC,0.34439818576416675,0.24871185384603736,0.4457966268512517,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Middle school,Logistic A-only,387,68,319,0.17571059431524547,Brier score,0.14609390202057868,0.12993741039222487,0.16300572196971852,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Middle school,XGBoost A+B,387,68,319,0.17571059431524547,AUROC,0.6371934353678776,0.5621515248113349,0.7156581679303932,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Middle school,XGBoost A+B,387,68,319,0.17571059431524547,AUPRC,0.33794066496357206,0.24233531057506386,0.4537857954409416,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Middle school,XGBoost A+B,387,68,319,0.17571059431524547,Brier score,0.15029641044211486,0.13449913190552787,0.16670068274389419,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Primary school,Logistic A-only,497,136,361,0.27364185110663986,AUROC,0.6055992341534951,0.5473416763144703,0.660328986717128,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Primary school,Logistic A-only,497,136,361,0.27364185110663986,AUPRC,0.3812536480591796,0.3108182885806495,0.4638194918179223,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Primary school,Logistic A-only,497,136,361,0.27364185110663986,Brier score,0.19949586392649848,0.18725539733568458,0.21243569825722633,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Primary school,XGBoost A+B,497,136,361,0.27364185110663986,AUROC,0.614612188365651,0.5575729506414904,0.6706284316269655,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Primary school,XGBoost A+B,497,136,361,0.27364185110663986,AUPRC,0.3803949600724561,0.3120521027593935,0.4673763134232758,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,Primary school,XGBoost A+B,497,136,361,0.27364185110663986,Brier score,0.2005916656110822,0.18735347283260892,0.21450027605245653,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
